Time (automatic),Temperature (deg C),Thermometer number,Observer's initials,QC flag (0 = good; 1 = suspect),QC initials
8/25/2021 10:15:24,24.9,1,RS,0,
8/25/2021 10:15:06,25.0,4,DG,0,
8/25/2021 10:15:33,24.8,7,JH,0,
8/25/2021 10:15:32,24.9,5,CB,0,
8/25/2021 10:15:35,25.0,2,DH,0,
8/25/2021 10:15:49,24.5,9,DC,0,
8/25/2021 10:15:57,24.0,10,CN,0,
8/25/2021 10:16:37,24.0,8,SB,0,
8/25/2021 10:16:08,25.5,8,FV,0,
8/25/2021 10:15:59,24.9,5,AV,0,
8/25/2021 10:15:55,24.8,7,JC,0,
8/25/2021 10:16:19,24.9,4,AS,0,
8/25/2021 10:16:15,25.1,3,TP,0,
8/25/2021 10:16:10,24.5,2,KE,0,
8/25/2021 10:16:11,24.5,1,BA,0,
8/25/2021 10:16:22,24.5,1,DH,0,
8/25/2021 10:16:18,24.0,9,CJ,0,
8/25/2021 10:16:32,24.5,9,DC,0,
8/25/2021 10:16:23,24.9,5,JC,0,
8/25/2021 10:16:31,24.5,10,JH,0,
8/25/2021 10:16:50,24.8,4,BA,0,
8/25/2021 10:17:01,24.2,2,TP,0,
8/25/2021 10:16:34,24.4,7,DG,0,
8/25/2021 10:16:55,24.5,1,KE,0,
8/25/2021 10:17:05,24.9,7,BM,0,
8/25/2021 10:18:11,24.8,5,SB,0,
8/25/2021 10:16:56,22.5,6,FV,1,
8/25/2021 10:17:09,25.0,4,DH,0,
8/25/2021 10:16:51,24.7,10,JC,0,
8/25/2021 10:17:22,22.6,6,AS,1,
8/25/2021 10:17:16,25.1,8,NL,0,
8/25/2021 10:18:02,24.5,4,KE,0,
8/25/2021 10:18:21,24.5,9,TP,0,RT
8/25/2021 10:17:32,24.8,7,RS,0,
8/25/2021 10:17:15,24.0,10,DG,0,
8/25/2021 10:18:32,24.6,10,AV,0,
8/25/2021 10:17:41,24.4,9,,0,
8/25/2021 10:17:57,25.2,3,DG,0,
8/25/2021 10:17:45,24.5,5,LT,0,
8/25/2021 10:17:34,24.5,5,NL,0,
8/25/2021 10:18:03,24.1,10,NL,0,
8/25/2021 10:17:49,24.5,7,DH,1,RT
8/25/2021 10:18:00,25.8,8,BM,0,
8/25/2021 10:18:21,25.2,3,JH,0,
8/25/2021 10:18:08,24.5,2,CN,0,
